conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1881534778828378600,Tue Jan 21 02:50:23 +0000 2025,6,Udah ngerasain #KaburAjaDulu trus balik bentar 50% nyesel 50% nya bersyukur gw lagi di indo pada saat bapak sedang sekarat dan berujung wafat. Seenggaknya perjalanan dari Jakarta ga selama kalo gw nyangkut di imigrasi for whatever weird coincidences. Tantangannya adalah ,1881534778828378600,,,in,,0,1,0,https://x.com/undefined/status/1881534778828378600,3711470718,
1881660555511107788,Tue Jan 21 11:10:11 +0000 2025,3,https://t.co/mC0g1FJSgk Sambil grinding buat persiapan KaburAjaDulu. All the best for all of you!,1881660560116494514,,primawansatrio,in,,0,0,1,https://x.com/undefined/status/1881660560116494514,104823513,
1881654417021419948,Tue Jan 21 10:45:47 +0000 2025,1,Apakah di sini ada yang butuh info apply visa buat #KaburAjaDulu ke Kanada US atau Eropa?,1881654417021419948,,,in,,1,1,0,https://x.com/undefined/status/1881654417021419948,1281640429104988161,
1881493895814766682,Tue Jan 21 02:29:09 +0000 2025,0,@twisterfruity Search hashtag #kaburajadulu ,1881529434899202392,,twisterfruity,en,,0,0,0,https://x.com/undefined/status/1881529434899202392,1741028043572105216,
1881494465925337549,Tue Jan 21 16:46:13 +0000 2025,0,@cattominyg @tanyakanrl biar bisa make hastag #KaburAjaDulu,1881745123496903044,,minyuwnki,in,,0,0,0,https://x.com/undefined/status/1881745123496903044,1770824593789317121,
1881540859000480159,Tue Jan 21 03:14:32 +0000 2025,0,Yuk #kaburajadulu ke US...,1881540859000480159,,,in,,0,0,0,https://x.com/undefined/status/1881540859000480159,398798880,
1881651813994385836,Tue Jan 21 10:35:26 +0000 2025,0,Lebih baik hati-hati sama narasi #KaburAjaDulu teliti baik-baik. Salah-salah malah hidup lu makin susah dan yang ngajak kabur aja dulu ga tanggung jawabz Jaman skrg perlu skeptis sama segala sesuatu supaya ga ketipu.,1881651813994385836,,,in,,0,1,0,https://x.com/undefined/status/1881651813994385836,28283316,
1881498461293670490,Tue Jan 21 00:38:22 +0000 2025,0,@hader4ch #KaburAjaDulu kak,1881501556023201877,,hader4ch,und,,0,0,0,https://x.com/undefined/status/1881501556023201877,1424684817665249288,
1881588232649064795,Tue Jan 21 06:24:42 +0000 2025,0,@tanganjojo #kaburajadulu,1881588714859905434,,tanganjojo,qme,,0,0,0,https://x.com/undefined/status/1881588714859905434,2334675612,
1881604943356067899,Tue Jan 21 07:29:11 +0000 2025,0,save dulu aja siapa tau ada rezekinya bisa #kaburajadulu,1881604943356067899,,,in,,0,0,0,https://x.com/undefined/status/1881604943356067899,401361717,
1881760649409425470,Tue Jan 21 17:47:55 +0000 2025,0,Tapi intinya noted lah either ngusahain punya mobil dan atau rumah dulu sebelum nikah atau langsung #KaburAjaDulu ke negara yg transumnya layak buat kemana2 termasuk safety buat ibu hamil dan anak2. Best effort mengusahakan semuanya ‍,1881760652848718043,,hakk4man,in,,0,0,0,https://x.com/undefined/status/1881760652848718043,276806540,
1881529614591524946,Tue Jan 21 02:29:51 +0000 2025,0,yuk tahun depan #kaburajadulu,1881529614591524946,,,in,,0,0,0,https://x.com/undefined/status/1881529614591524946,822666974928867328,
1881551113692053865,Tue Jan 21 03:55:17 +0000 2025,0,Urg juga tau gini mending jadi jongos di kapal pesiar. Merayakan gerakan #KaburAjaDulu,1881551113692053865,,,in,,0,0,0,https://x.com/undefined/status/1881551113692053865,1351634274,
1881641548858921427,Tue Jan 21 11:07:37 +0000 2025,0,@harryakb10 #kaburajadulu ?,1881659914017509388,,harryakb10,und,,0,1,0,https://x.com/undefined/status/1881659914017509388,1343000425,
1881599049113165945,Tue Jan 21 07:05:46 +0000 2025,0,Yuk #kaburajadulu,1881599049113165945,,,und,,0,0,0,https://x.com/undefined/status/1881599049113165945,167303841,
1896751107617313176,Tue Mar 04 02:34:38 +0000 2025,0,Buat kalian yang mau cari kerja di Johor le #KaburAjaDulu https://t.co/lV4AeoVYxp,1896751107617313176,https://pbs.twimg.com/media/GlKdE3vbcAAy8RN.jpg,,in,,0,0,0,https://x.com/undefined/status/1896751107617313176,79191333,
1896934754857136584,Tue Mar 04 14:44:23 +0000 2025,10,Lebih KOLONIAL mana ⁉️ atau lebih ROMUSHA mana ⁉️ Dosen dg pendidikan S2 setara dg Asisten Ahli. AA memiliki pangkat Penata Muda atau golongan IIIa dan IIIb dg gaji Rp2.785.700 - nol tahun masa kerja .. gmn gak main tagar #KaburAjaDulu Rincian tunjangan dosen berdasarkan Perpres https://t.co/PwbMsMP1Ms,1896934754857136584,https://pbs.twimg.com/media/GlNEFRzawAAFE7D.jpg,,in,,0,2,4,https://x.com/undefined/status/1896934754857136584,1546669442595074048,
1896896489928237224,Tue Mar 04 12:12:20 +0000 2025,0,kayanya seru deh klo kita ga dateng ga isi ppt #/kaburajadulu @rejigeum https://t.co/rEHiPsmb8g,1896896489928237224,https://pbs.twimg.com/media/GlMhTfSbAAA_ew7.jpg,,in,,0,1,0,https://x.com/undefined/status/1896896489928237224,1351822871711031297,
1896730701405495682,Tue Mar 04 01:13:33 +0000 2025,34,Barang nan kecil ini bisa konekkin hatiku ke hati kamu gk?? . . . Serius nanya!!! . . Selamat pagi Semuaaaanyaaa (kecuali WNI yg udah #kaburajadulu tapi gk ajak2!) https://t.co/lnLHfkpdG4,1896730701405495682,https://pbs.twimg.com/media/GlKKhWpXAAAJkdn.jpg,,in,,0,14,3,https://x.com/undefined/status/1896730701405495682,133774868,
1896798806106382463,Tue Mar 04 05:44:10 +0000 2025,0,Top loser minggu lalu ada yang terperangkap? #RONY #OBAT #AIMS #INKP #TOBA #pasarmodal #infosaham #idx #sahampemula #kaburajadulu #investasi #saham https://t.co/7MnvEh5lUF,1896798806106382463,https://pbs.twimg.com/media/GlLIdPaawAAnRq7.jpg,,in,,0,0,0,https://x.com/undefined/status/1896798806106382463,1396754054915653634,
1896782061085847973,Tue Mar 04 04:37:38 +0000 2025,0,Ibukku mendukung #KaburAjaDulu ? https://t.co/VQYSByxePW,1896782061085847973,https://pbs.twimg.com/media/GlK5Oa2asAIYU6l.jpg,,in,,0,0,0,https://x.com/undefined/status/1896782061085847973,1637621438600589312,
1896896765758214634,Tue Mar 04 12:13:26 +0000 2025,8,#KaburAjaDulu Bung Sandiaga Sudah Lebih Dulu Kabur #LebihduluKabur Pulang Masih Tetap Berjiwa Nasionalis Gak Perlu Warga Negara Berkasta Sukses Menciptakan Lapangan Keja Hampir 30 Ribu Pekerja. Gak cuma OMON - OMON .. 🇮🇩 https://t.co/vPlCzusagH,1896896765758214634,https://pbs.twimg.com/ext_tw_video_thumb/1896896706912067584/pu/img/wovr7Ki_Dpvg7bbw.jpg,,in,,0,1,2,https://x.com/undefined/status/1896896765758214634,1322361095407902721,
1896902966025871541,Tue Mar 04 12:38:04 +0000 2025,7,lucu bgt dapet pap dari yg lagi #KaburAjaDulu https://t.co/x9OwIqsK46,1896902966025871541,https://pbs.twimg.com/media/GlMnMN7WEAAIwvQ.jpg,,in,,0,1,0,https://x.com/undefined/status/1896902966025871541,1581288680605421568,
